algorithm,batch,build,candidates,count,dataset,distcomps,epsilon,indexsize,k-nn,largeepsilon,parameters,qps,queriessize,rel
flann,False,586.3033163547516,10.0,10,glove-100-angular,0.0,0.12855,784352.0,0.12183,0.25321,FLANN(target_precision=0.200000),5815.0931629914585,134.8821038658142,1.295663990990191
flann,False,3975.881255865097,10.0,10,glove-100-angular,0.0,1.0,513000.0,1.0,1.0,FLANN(target_precision=0.970000),9.752170199565887,52603.675848770145,1.0000000000430807
flann,False,1111.5705745220184,10.0,10,glove-100-angular,0.0,0.66328,637764.0,0.61487,0.9799,FLANN(target_precision=0.700000),962.5572627277841,662.5725291320801,1.040197766777497
flann,False,2123.2999687194824,10.0,10,glove-100-angular,0.0,0.75681,608908.0,0.71116,0.99264,FLANN(target_precision=0.800000),286.2262443550077,2127.366067958355,1.0273760496435402
flann,False,766.7710061073303,10.0,10,glove-100-angular,0.0,0.43967999999999996,782484.0,0.40750000000000003,0.82182,FLANN(target_precision=0.500000),2062.7202485235457,379.34567257003783,1.0885556506502796
flann,False,4602.153846979141,10.0,10,glove-100-angular,0.0,0.88497,613484.0,0.8419700000000001,0.99925,FLANN(target_precision=0.900000),125.48564345741252,4888.877987131691,1.0121226833783576
faiss-ivf,False,568.9988639354706,10.0,10,glove-100-angular,9044.1237,0.58384,655728.0,0.54574,0.9055899999999999,"FaissIVF(n_list=8192, n_probe=5)",2461.5799228044857,266.38501310691834,1.0597003206944458
faiss-ivf,False,9.430783748626709,10.0,10,glove-100-angular,109383.3608,0.96501,636680.0,0.93407,0.99976,"FaissIVF(n_list=512, n_probe=50)",176.46370546661723,3607.994053601265,1.0047306032676688
faiss-ivf,False,246.02279615402222,10.0,10,glove-100-angular,7248.4292,0.72154,654676.0,0.67859,0.9770300000000001,"FaissIVF(n_list=4096, n_probe=10)",2393.9608979339628,273.4697966725349,1.0346309253218564
faiss-ivf,False,2.4154410362243652,10.0,10,glove-100-angular,1183546.0,1.0,609356.0,1.0,1.0,"FaissIVF(n_list=32, n_probe=100)",17.467434047575683,34885.26124331197,0.9999999999623199
